phase,domain,family,library_class,condition,bug_id,detected,parsed
P9_csv_cross_family,csv_dom,gemini31,stdlib,cold,P9c_B15,1,1
P9_csv_cross_family,csv_dom,gemini31,stdlib,mismatched,P9c_B15,0,1
P9_csv_cross_family,csv_dom,gemini31,stdlib,cold,P9c_B16,0,1
P9_csv_cross_family,csv_dom,gemini31,stdlib,mismatched,P9c_B16,0,1
P9_csv_cross_family,csv_dom,gemini31,stdlib,cold,P9c_B17,1,1
P9_csv_cross_family,csv_dom,gemini31,stdlib,mismatched,P9c_B17,0,1
P9_csv_cross_family,csv_dom,gemini31,stdlib,cold,P9c_B18,1,1
P9_csv_cross_family,csv_dom,gemini31,stdlib,mismatched,P9c_B18,0,1
P9_csv_cross_family,csv_dom,gemini31,stdlib,cold,P9c_B19,0,1
P9_csv_cross_family,csv_dom,gemini31,stdlib,mismatched,P9c_B19,0,1
P9_csv_cross_family,csv_dom,gemini31,stdlib,cold,P9c_B20,0,1
P9_csv_cross_family,csv_dom,gemini31,stdlib,mismatched,P9c_B20,0,1
P9_csv_cross_family,csv_dom,gemini31,stdlib,cold,P9c_B21,1,1
P9_csv_cross_family,csv_dom,gemini31,stdlib,mismatched,P9c_B21,0,1
P9_csv_cross_family,csv_dom,gemini31,stdlib,cold,P9c_B22,0,1
P9_csv_cross_family,csv_dom,gemini31,stdlib,mismatched,P9c_B22,0,1
P9_csv_cross_family,csv_dom,gemini31,stdlib,cold,P9c_B23,0,1
P9_csv_cross_family,csv_dom,gemini31,stdlib,mismatched,P9c_B23,0,1
P9_csv_cross_family,csv_dom,gemini31,stdlib,cold,P9c_B24,0,1
P9_csv_cross_family,csv_dom,gemini31,stdlib,mismatched,P9c_B24,0,1
P9_csv_cross_family,csv_dom,gemini31,stdlib,cold,P9c_B25,0,1
P9_csv_cross_family,csv_dom,gemini31,stdlib,mismatched,P9c_B25,0,1
P9_csv_cross_family,csv_dom,gemini31,stdlib,cold,P9c_B26,0,1
P9_csv_cross_family,csv_dom,gemini31,stdlib,mismatched,P9c_B26,0,1
